date,usd_gold_close,usd_gold_change_pct,usd_gold_instrument,usd_gold_source,mcx_inr_gold_close,mcx_inr_gold_change_pct,mcx_inr_gold_null_reason,usd_inr_rate,usd_inr_source,usd_gold_inr_equiv,usd_gold_inr_equiv_is_derived,usd_gold_inr_equiv_note
2026-08-10,4361.8,,COMEX front-month gold futures close,Yahoo:GC=F,,,no-free-MCX-feed,95.3967,Yahoo:USDINR=X,416101.3,True,DERIVED = COMEX front-month gold futures close x USD/INR spot FX rate; not a real MCX/exchange close
2026-08-11,4383.0,0.486,COMEX front-month gold futures close,Yahoo:GC=F,,,no-free-MCX-feed,95.3799,Yahoo:USDINR=X,418050.09,True,DERIVED = COMEX front-month gold futures close x USD/INR spot FX rate; not a real MCX/exchange close
2026-08-12,4408.9,0.5909,COMEX front-month gold futures close,Yahoo:GC=F,,,no-free-MCX-feed,95.3443,Yahoo:USDINR=X,420363.47,True,DERIVED = COMEX front-month gold futures close x USD/INR spot FX rate; not a real MCX/exchange close
2026-08-13,4363.6,-1.0275,COMEX front-month gold futures close,Yahoo:GC=F,,,no-free-MCX-feed,95.4012,Yahoo:USDINR=X,416292.68,True,DERIVED = COMEX front-month gold futures close x USD/INR spot FX rate; not a real MCX/exchange close
2026-08-14,4380.4,0.385,COMEX front-month gold futures close,Yahoo:GC=F,,,no-free-MCX-feed,,,,True,no same-date USD/INR observation; equiv not computed
2026-08-17,4417.8,0.8538,COMEX front-month gold futures close,Yahoo:GC=F,,,no-free-MCX-feed,95.6941,Yahoo:USDINR=X,422757.37,True,DERIVED = COMEX front-month gold futures close x USD/INR spot FX rate; not a real MCX/exchange close
2026-08-18,4366.0,-1.1725,COMEX front-month gold futures close,Yahoo:GC=F,,,no-free-MCX-feed,95.8164,Yahoo:USDINR=X,418334.4,True,DERIVED = COMEX front-month gold futures close x USD/INR spot FX rate; not a real MCX/exchange close
2026-08-19,4489.4,2.8264,COMEX front-month gold futures close,Yahoo:GC=F,,,no-free-MCX-feed,95.496,Yahoo:USDINR=X,428719.74,True,DERIVED = COMEX front-month gold futures close x USD/INR spot FX rate; not a real MCX/exchange close
2026-08-20,4516.3,0.5992,COMEX front-month gold futures close,Yahoo:GC=F,,,no-free-MCX-feed,,,,True,no same-date USD/INR observation; equiv not computed
2026-08-21,4634.9,2.626,COMEX front-month gold futures close,Yahoo:GC=F,,,no-free-MCX-feed,95.7375,Yahoo:USDINR=X,443733.74,True,DERIVED = COMEX front-month gold futures close x USD/INR spot FX rate; not a real MCX/exchange close
